index,game_id,season,gameType,awayTeam.id,awayTeam.abbrev,awayTeam.logo,homeTeam.id,homeTeam.abbrev,homeTeam.logo,homeTeam.placeName.default,awayTeam.placeName.default,awayTeam.score,homeTeam.score,winningGoalScorer.playerId,winningGoalie.playerId,gameState,link,game_date_time,start_time,game_date
114,2024021058,20242025,2,14,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,Boston,Tampa Bay,6,2,8478519,8476883,OFF,https://api-web.nhle.com/v1/gamecenter/2024021058/play-by-play,2025-03-15 19:00:00-04:00,7:00 PM,2025-03-15
151,2024021059,20242025,2,9,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,Toronto,Ottawa,4,2,8473512,8476999,OFF,https://api-web.nhle.com/v1/gamecenter/2024021059/play-by-play,2025-03-15 19:00:00-04:00,7:00 PM,2025-03-15
188,2024021060,20242025,2,13,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,Montréal,Florida,1,3,8481540,8478470,OFF,https://api-web.nhle.com/v1/gamecenter/2024021060/play-by-play,2025-03-15 19:00:00-04:00,7:00 PM,2025-03-15
225,2024021061,20242025,2,12,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,Philadelphia,Carolina,5,0,8478427,8481611,OFF,https://api-web.nhle.com/v1/gamecenter/2024021061/play-by-play,2025-03-15 19:00:00-04:00,7:00 PM,2025-03-15
262,2024021062,20242025,2,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,29,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,Columbus,New York,4,0,8482109,8478048,OFF,https://api-web.nhle.com/v1/gamecenter/2024021062/play-by-play,2025-03-15 19:00:00-04:00,7:00 PM,2025-03-15
299,2024021063,20242025,2,19,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,30,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,Minnesota,St. Louis,5,1,8482089,8480981,OFF,https://api-web.nhle.com/v1/gamecenter/2024021063/play-by-play,2025-03-15 20:00:00-04:00,8:00 PM,2025-03-15
336,2024021064,20242025,2,18,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,26,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,Los Angeles,Nashville,0,1,8482124,8475311,OFF,https://api-web.nhle.com/v1/gamecenter/2024021064/play-by-play,2025-03-15 20:00:00-04:00,8:00 PM,2025-03-15
373,2024021065,20242025,2,16,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,Vancouver,Chicago,2,6,8478856,8481668,OFF,https://api-web.nhle.com/v1/gamecenter/2024021065/play-by-play,2025-03-15 22:00:00-04:00,10:00 PM,2025-03-15
4,2024021066,20242025,2,54,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,Detroit,Vegas,0,3,8481607,8475852,OFF,https://api-web.nhle.com/v1/gamecenter/2024021066/play-by-play,2025-03-16 13:00:00-04:00,1:00 PM,2025-03-16
41,2024021067,20242025,2,25,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,21,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,Colorado,Dallas,3,4,8480069,8475809,OFF,https://api-web.nhle.com/v1/gamecenter/2024021067/play-by-play,2025-03-16 15:30:00-04:00,3:30 PM,2025-03-16
152,2024021068,20242025,2,24,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,19,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,St. Louis,Anaheim,2,7,8482077,8476412,OFF,https://api-web.nhle.com/v1/gamecenter/2024021068/play-by-play,2025-03-16 20:00:00-04:00,8:00 PM,2025-03-16
78,2024021069,20242025,2,22,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,New York,Edmonton,3,1,8478042,8479973,OFF,https://api-web.nhle.com/v1/gamecenter/2024021069/play-by-play,2025-03-16 19:00:00-04:00,7:00 PM,2025-03-16
115,2024021070,20242025,2,13,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,2,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,New York,Florida,2,4,8480865,8478009,OFF,https://api-web.nhle.com/v1/gamecenter/2024021070/play-by-play,2025-03-16 19:30:00-04:00,7:30 PM,2025-03-16
189,2024021071,20242025,2,59,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,23,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,Vancouver,Utah,3,1,8483431,8478872,OFF,https://api-web.nhle.com/v1/gamecenter/2024021071/play-by-play,2025-03-16 20:00:00-04:00,8:00 PM,2025-03-16
226,2024021072,20242025,2,52,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,55,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,Seattle,Winnipeg,3,2,8480049,8477480,OFF,https://api-web.nhle.com/v1/gamecenter/2024021072/play-by-play,2025-03-16 21:00:00-04:00,9:00 PM,2025-03-16
1,2024021073,20242025,2,7,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,Boston,Buffalo,3,2,8477949,8480045,OFF,https://api-web.nhle.com/v1/gamecenter/2024021073/play-by-play,2025-03-17,7:00 pm,2025-03-17
34,2024021074,20242025,2,4,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,14,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,Tampa Bay,Philadelphia,0,2,8476453,8476883,OFF,https://api-web.nhle.com/v1/gamecenter/2024021074/play-by-play,2025-03-17,7:00 pm,2025-03-17
67,2024021075,20242025,2,1,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,29,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,Columbus,New Jersey,2,1,8479407,8474596,OFF,https://api-web.nhle.com/v1/gamecenter/2024021075/play-by-play,2025-03-17,7:00 pm,2025-03-17
100,2024021076,20242025,2,20,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,Toronto,Calgary,2,6,8481582,8479361,OFF,https://api-web.nhle.com/v1/gamecenter/2024021076/play-by-play,2025-03-17,7:30 pm,2025-03-17
